GEOID,ME,MELSAD,z_AQI,z_Education,z_Poverty,z_Gini,z_Stability,z_SevHous,z_poorh20qual,z_AvgLandCOver,z_Poorhealth,z_water,z_black,z_Asian,z_hispanic,z_GHG,z_UNEMPLOY,z_FOOD,z_CRIME
10260,"Adjuntas, PR","Adjuntas, PR Micro Area",1.05324049,-0.554153083,6.917206247,3.794650238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39,NA,NA
10380,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR Metro Area",1.05324049,-0.370953841,5.272816594,2.117779056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,NA,NA
10760,"Alexander City, AL","Alexander City, AL Micro Area",NA,-0.54270313,0.504086603,-0.045713566,1.349323799,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA
11640,"Arecibo, PR","Arecibo, PR Metro Area",1.05324049,-0.107604931,4.555264746,2.088187212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA
12120,"Atmore, AL","Atmore, AL Micro Area",NA,-1.24115024,0.892760521,0.966985108,2.004739369,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83,NA,NA
14300,"Bonham, TX","Bonham, TX Micro Area",NA,-0.771702182,-0.452649195,-0.640838436,-1.038261489,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44,NA,NA
15140,"Brownsville, TN","Brownsville, TN Micro Area",NA,-1.206800382,0.190157669,1.410862774,1.021616015,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,NA,NA
16140,"Carroll, IA","Carroll, IA Micro Area",NA,-0.050355168,-1.125354052,-0.440271491,1.045023714,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84,NA,NA
16420,"Central City, KY","Central City, KY Micro Area",NA,-1.33274986,0.399443625,-0.979500655,0.530054338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA
17620,"Coamo, PR","Coamo, PR Micro Area",1.05324049,-0.302254125,4.555264746,1.706781218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA
17640,"Coco, PR","Coco, PR Micro Area",1.471864254,-0.691552514,5.347561579,1.095216434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA
21640,"Eufaula, AL-GA","Eufaula, AL-GA Micro Area",NA,-1.28695005,1.341230426,0.283084705,0.600277434,-3.90736725,NA,NA,NA,NA,NA,NA,NA,NA,2.09,NA,NA
21860,"Fairmont, MN","Fairmont, MN Micro Area",NA,-0.336603983,-0.975864084,-0.637550454,0.810946724,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.62,NA,NA
22840,"Fort Payne, AL","Fort Payne, AL Micro Area",NA,-1.138100666,0.548933594,0.322540497,0.319385047,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.46,NA,NA
24330,"Grand Rapids, MN","Grand Rapids, MN Micro Area",NA,-0.027455263,-0.781527125,-1.196507514,0.834354423,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59,NA,NA
25020,"Guayama, PR","Guayama, PR Metro Area",1.120113034,-0.611402846,5.706337503,1.654173494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,NA,NA
26260,"Hope, AR","Hope, AR Micro Area",NA,-1.000701235,1.027301492,-0.824965468,0.834354423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA
27580,"Jayuya, PR","Jayuya, PR Micro Area",1.05324049,-0.657202656,6.349144367,0.345556376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.59,NA,NA
27660,"Jennings, LA","Jennings, LA Micro Area",NA,-0.817501993,0.264902654,1.068912572,0.061900359,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA
29740,"Las Cruces, NM","Las Cruces, NM Metro Area",-2.492537209,0.51069251,1.505669391,1.230023725,-0.008322737,0.869831993,-0.964996603,1.711130694,1.01326283,3.946263494,-0.821197175,0.126368869,-0.183221261,NA,1.1,0.23,-0.14
31340,"Lynchburg, VA","Lynchburg, VA Metro Area",0.954712221,0.407642937,-0.542343176,-0.282448321,0.061900359,-0.357032484,-0.148003379,0.55663548,-0.101530009,-0.380472981,-0.73560006,0.399395665,-0.307449553,NA,-0.79,-0.4,-0.49
32420,"MayagÃ¼ez, PR","MayagÃ¼ez, PR Metro Area",1.05324049,0.052694406,4.779499699,4.439094849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,NA,-1.7
37800,"Pella, IA","Pella, IA Micro Area",NA,0.361843126,-1.274844021,-1.939591606,-0.359438221,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38,NA,NA
38660,"Ponce, PR","Ponce, PR Metro Area",0.833431882,0.075594311,5.138275623,3.242269143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,NA,-1.7
40760,"Ruidoso, NM","Ruidoso, NM Micro Area",NA,0.762591467,-0.362955214,1.128096261,0.342792746,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33,NA,NA
41260,"St. Marys, PA","St. Marys, PA Micro Area",NA,-0.508353272,-1.259895024,-1.489137975,1.677031584,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,NA,NA
41900,"San GermÃ¡n, PR","San GermÃ¡n, PR Metro Area",1.05324049,-0.119054884,5.287765591,2.551792774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA
41980,"San Juan-Caroli-Caguas, PR","San Juan-Caroli-Caguas, PR Metro Area",-0.094876012,0.4648927,3.419140986,3.041702198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23,NA,NA
42180,"Santa Isabel, PR","Santa Isabel, PR Micro Area",1.05324049,0.075594311,4.674856721,2.854287183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91,NA,NA
