GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,Broadband % population without access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality,,,,
10100,"Aberdeen, SD","Aberdeen, SD Micro Area",0.92,28.50,10.50,45.05,83.30,10.35,9.04,19.19,11.02,0.24,29.61,0.0215,10.31813119,285.7455497,0.03,0.992907773,1.340926474,0.9540079487,1.050482728,,,,
10140,"Aberdeen, WA","Aberdeen, WA Micro Area",0.94,15.20,16.00,44.03,85.00,15.47,4.64,62.39,18.60,0.14,11.58,0.1214,15.1,243.5333958,0.11,0.971539554,0.649736395,0.6913762930,1.651133243,,,,
10180,"Abilene, TX","Abilene, TX Metro Area",0.78,21.50,16.00,46.12,76.90,15.10,3.42,59.60,13.38,0.31,43.12,0.0522,17.50109976,380.0806681,0.46,0.987424271,0.791448896,0.7593754932,1.208249759,,,,
10220,"Ada, OK","Ada, OK Micro Area",0.77,28.10,17.30,44.34,82.80,13.57,14.10,52.38,23.10,0.19,21.55,0.0603,16.2,317.3562389,0.29,0.992205851,0.933533805,0.8200401071,0.904576183,,,,
10300,"Adrian, MI","Adrian, MI Micro Area",0.78,20.50,13.70,41.49,86.00,14.12,73.62,7.15,9.70,0.05,12.86,0.0739,10.7,188.5803029,0.26,0.978344174,0.607731011,0.8798356899,1.795194644,,,,
10420,"Akron, OH","Akron, OH Metro Area",0.70,30.70,13.80,46.56,87.40,14.65,65.12,16.92,14.28,0.04,15.17,0.0746,14.97706299,279.8967002,0.02,0.965881053,0.784317331,1.0430851030,1.402475583,,,,
10460,"Alamogordo, NM","Alamogordo, NM Micro Area",0.81,18.30,21.40,44.54,81.30,14.72,2.24,93.14,18.50,0.51,15.59,0.1099,19,354.5303247,0.30,0.958147358,1.105005142,0.8701680497,1.158028289,,,,
10500,"Albany, GA","Albany, GA Metro Area",0.67,19.50,25.70,48.25,83.80,19.79,14.74,60.80,18.03,0.09,11.49,0.1326,22.23335777,668.6231739,0.32,0.963926552,0.947650247,1.1724947530,1.407575845,,,,
10540,"Albany, OR","Albany, OR Metro Area",0.85,18.60,16.10,42.60,83.30,18.80,14.61,62.46,17.90,0.09,21.44,0.0984,14.4,112.0927847,0.03,0.938832241,1.127564831,0.8549308527,1.657750428,,,,
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",0.83,36.10,11.00,44.30,86.50,14.54,23.56,49.19,13.66,0.06,10.26,0.0629,10.5909623,281.8145688,0.07,0.964048851,0.794600448,0.9169041185,1.509723313,,,,
