GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,broadband_access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality
10100,"Aberdeen, SD","Aberdeen, SD Micro Area",0.92,28.5,10.5,45.05,83.3,10.35,9.04,19.19,11.02,0.24,29.61,0.0215,10.3181312,285.74555,0.033,0.993,1.146270854,0.916608946,0.841487909
10140,"Aberdeen, WA","Aberdeen, WA Micro Area",0.94,15.2,16,44.03,85,15.47,4.64,62.39,18.6,0.14,11.58,0.1214,15.1,243.533396,0.111,0.972,0.590023682,1.338507658,0.620255892
10180,"Abilene, TX","Abilene, TX Metro Area",0.78,21.5,16,46.12,76.9,15.1,3.42,59.6,13.38,0.31,43.12,0.0522,17.5010998,380.080668,0.456,0.987,0.689641245,0.925198485,0.677779695
10220,"Ada, OK","Ada, OK Micro Area",0.77,28.1,17.3,44.34,82.8,13.57,14.1,52.38,23.1,0.19,21.55,0.0603,16.2,317.356239,0.291,0.992,0.803093587,0.769519659,0.703588285
10300,"Adrian, MI","Adrian, MI Micro Area",0.78,20.5,13.7,41.49,86,14.12,73.62,7.15,9.7,0.05,12.86,0.0739,10.7,188.580303,0.255,0.978,0.576542835,1.420573076,0.782803808
10420,"Akron, OH","Akron, OH Metro Area",0.7,30.7,13.8,46.56,87.4,14.65,65.12,16.92,14.28,0.04,15.17,0.0746,14.977063,279.8967,0.022,0.966,0.680113925,1.103639706,0.870114283
10460,"Alamogordo, NM","Alamogordo, NM Micro Area",0.81,18.3,21.4,44.54,81.3,14.72,2.24,93.14,18.5,0.51,15.59,0.1099,19,354.530325,0.299,0.958,0.756860854,0.848684701,0.681362707
10500,"Albany, GA","Albany, GA Metro Area",0.67,19.5,25.7,48.25,83.8,19.79,14.74,60.8,18.03,0.09,11.49,0.1326,22.2333578,668.623174,0.323,0.964,0.687041602,0.951900687,0.845546053
10540,"Albany, OR","Albany, OR Metro Area",0.85,18.6,16.1,42.6,83.3,18.8,14.61,62.46,17.9,0.09,21.44,0.0984,14.4,112.092785,0.029,0.939,0.97887861,1.395575415,0.762505497
10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",0.83,36.1,11,44.3,86.5,14.54,23.56,49.19,13.66,0.06,10.26,0.0629,10.5909623,281.814569,0.072,0.964,0.664804941,1.10017472,0.739674758
10620,"Albemarle, NC","Albemarle, NC Micro Area",0.79,16.5,15.7,42.48,87,16.52,11.38,55.26,26.2,0.09,10.48,0.1032,14,266.120984,0.004,0.999,0.665313286,1.196773571,0.677597999
10660,"Albert Lea, MN","Albert Lea, MN Micro Area",0.9,16.8,11.8,41.59,87.9,10.08,12.75,3.64,13.5,0.06,27.52,0.0456,8.1,92.8489982,0.023,0.985,0.317020063,1.046059381,0.579907257
10700,"Albertville, AL","Albertville, AL Micro Area",0.82,17.7,21,48.16,86.2,13.92,8.12,53.17,21.2,0.01,17.7,0.0717,12.2,286.269082,0.055,0.971,0.669036873,0.965261535,0.563087825
10740,"Albuquerque, NM","Albuquerque, NM Metro Area",0.48,31.2,17.9,46.41,85.5,18.85,3.03,93.17,14.77,0.49,12.94,0.0776,14.8527219,823.852108,0.207,0.995,0.762946429,0.959507689,0.6889522
10780,"Alexandria, LA","Alexandria, LA Metro Area",0.81,18.3,19.6,47.53,88.6,15.13,18.28,43.99,22.09,0,15.75,0.0807,16.2923109,874.862113,0.406,0.989,0.665908588,1.017308524,0.75140248
10820,"Alexandria, MN","Alexandria, MN Micro Area",0.9,25.2,8.4,44.4,86.6,12.08,13.84,25.1,10.8,0.12,14.18,0.0403,8.3,121.641347,0.344,0.967,1.191341335,1.058404436,0.832908527
10860,"Alice, TX","Alice, TX Micro Area",0.78,11.3,23,48.79,89.3,17.1,2.54,34.47,27.8,0.12,16.63,0.0632,10.1,583.365608,0.047,NA,0.588008484,2.013958457,0.715627042
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.51,28.3,11.1,44.28,87.3,16.25,23.36,57.22,13.63,0.09,12.32,0.0745,9.50672738,205.25692,0.128,0.96,0.725341402,1.255066153,0.649385467
10940,"Alma, MI","Alma, MI Micro Area",0.78,14.7,20.5,47,85.5,13.73,86.38,7.78,17.3,0.08,13.23,0.0799,13.3,203.024952,0.163,1.026,0.469899012,1.6619362,0.696500156
10980,"Alpena, MI","Alpena, MI Micro Area",0.78,17.3,15,42.96,87.4,12.15,73.74,67.71,14.7,0,15.97,0.0785,12.8,303.566472,0.058,0.985,0.417468535,1.368079797,1.065350506
11020,"Altoona, PA","Altoona, PA Metro Area",0.69,20.3,15.2,44.39,89.3,12.91,11.7,63.1,20.1,0.04,13.72,0.0582,12.6,224.254543,0.071,0.961,0.682440268,1.543056812,0.875264119
11060,"Altus, OK","Altus, OK Micro Area",0.77,21.1,18,43.94,76.6,14.14,7.84,30.69,17.9,0.4,14.98,0.0547,13.9,294.398627,0.196,0.922,0.762141536,1.198022354,0.667128836
11100,"Amarillo, TX","Amarillo, TX Metro Area",0.78,23.5,15,45.93,81.7,15.77,4.42,63.27,18.45,0.51,21.01,0.0392,15.2738571,579.477554,0.396,0.979,0.579408546,0.812320783,0.660845366
11140,"Americus, GA","Americus, GA Micro Area",0.94,16.3,31.7,48,80.3,20.51,8.48,60.8,12.92,0.09,12.12,0.1274,23.5253651,615.72696,0.17,0.975,0.593193865,0.822223673,0.72676521
11180,"Ames, IA","Ames, IA Metro Area",0.92,50.6,22,46.77,67.3,19.19,7.86,3.64,6.4,0.07,16.9,0.052,15.5,142.448532,0.108,NA,0.83898178,1.031103609,0.786054783
11220,"Amsterdam, NY","Amsterdam, NY Micro Area",0.89,17,19.6,45.42,87.2,17.68,24.19,29.88,12.2,0.05,31.44,0.0836,12,142.33654,0.155,0.98,0.723774023,0.899405157,0.638415207
11380,"Andrews, TX","Andrews, TX Micro Area",0.78,9.8,11.9,45.4,86.4,14.43,1.23,41.17,28.2,0.57,49.28,0.0519,8.5,493.888475,0.025,0.94,0.531896473,4.022643694,0.712425576
11420,"Angola, IN","Angola, IN Micro Area",0.79,20.3,10.1,39.6,84.9,9.75,79.23,8.31,13.3,0.02,25.35,0.0594,10.7,69.844015,0.341,0.946,NA,1.083269555,0.722336832
11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",0.76,54.3,14.5,47.85,76.5,17.31,79.75,7.15,9.6,0.06,13.79,0.0626,13.6,303.084726,0.067,0.97,0.673632534,1.063583396,0.738581477
11500,"Anniston-Oxford-Jacksonville, AL","Anniston-Oxford-Jacksonville, AL Metro Area",0.82,17.9,18.6,46.29,82.8,14.54,8.81,52.62,22.7,0,16.75,0.1168,16.7,756.066544,0.088,0.96,0.778437467,1.08861815,0.716501839
11540,"Appleton, WI","Appleton, WI Metro Area",0.79,28.4,8,40.55,89.5,10.94,16.59,15.69,9.24,0.07,15.16,0.0345,8.4759298,146.265421,0.049,0.967,0.677650967,0.892849826,0.689823652
11580,"Arcadia, FL","Arcadia, FL Micro Area",0.87,11.5,29.9,44.86,85.1,19.17,7.33,50.55,16.2,0.17,10.26,0.0829,15.9,440.779184,0.655,1.094,0.588913792,2.118259137,0.548470365
11620,"Ardmore, OK","Ardmore, OK Micro Area",0.76,20.4,16.4,46.69,84.8,13.57,12.16,44.47,19.3,0.19,18.28,0.0611,15.8,669.493875,0.274,0.974,0.728645376,1.385518294,0.674097838
11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",0.96,26.4,21.5,45.1,79.8,15.26,2.52,69.19,21.9,0.03,21.12,0.0787,20.4,329.478363,0.242,NA,0.770162956,1.01705912,0.670129968
11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",0.93,20.3,16,42.82,81.4,12.2,17.64,43.17,15,0.15,16.68,0.0618,14.2,334.577275,0.22,0.989,0.773821076,1.093484401,0.72819773
11700,"Asheville, NC","Asheville, NC Metro Area",0.73,34.1,13.6,45.54,86.3,15.08,18.2,72.64,15.56,0.07,13.56,0.0577,12.2069721,218.075753,0.081,0.984,0.686856482,1.052789808,0.66250466
11740,"Ashland, OH","Ashland, OH Micro Area",0.77,20.2,14.2,41.08,85.4,13.27,75.83,33.57,13.3,0.04,16.3,0.0573,13.4,102.686976,0.28,0.974,1.142091698,1.357077505,1.104166017
11780,"Ashtabula, OH","Ashtabula, OH Micro Area",0.89,13.4,19.8,43.35,88.9,15.15,55.36,23.4,18.8,0.04,18.31,0.0809,15.1,134.91502,0.08,0.974,0.700093935,1.425868656,0.701693569
11820,"Astoria, OR","Astoria, OR Micro Area",0.8,24.5,12.2,42.09,80.4,19.11,8.53,77.44,12.6,0.12,21.46,0.0689,13.4,163.278281,0.148,0.967,1.154706155,1.683563263,0.737428197
11860,"Atchison, KS","Atchison, KS Micro Area",0.93,20.7,18.5,49.19,85.9,10.36,15.2,3.64,12.2,0.07,41.81,0.0672,16.9,288.359387,1,NA,0.841208553,0.399584551,0.747138385
11900,"Athens, OH","Athens, OH Micro Area",0.89,29.6,30.2,50.86,71.4,23.28,54.64,50.22,16.6,0.02,10.72,0.094,19.9,111.635895,0.364,0.968,0.990902987,1.532630691,1.082959039
11940,"Athens, TN","Athens, TN Micro Area",0.84,15.4,19.7,45.38,88.2,14.81,20.95,61.31,30.5,0.05,23.05,0.0862,13.6,515.037773,0.306,0.92,0.823680078,2.216556165,0.876124069
11980,"Athens, TX","Athens, TX Micro Area",0.78,18.1,18,46.15,86.7,14.34,6.44,47.75,21.2,0.05,20.32,0.0691,18.8,339.837409,0.7,0.967,0.776518305,1.011122835,0.695285786
12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",0.79,36.4,25.4,50.89,78.8,20.37,12.77,55.26,15.72,0.09,19.14,0.0754,17.0181086,318.710673,0.111,0.986,0.647048374,1.102093971,0.603664846
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",0.39,37,13.9,47.23,84.3,17.81,10.53,59.29,12.22,0.04,12.79,0.0817,14.1574413,403.451755,0.183,0.968,0.727140172,0.997632389,0.632422787
12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",0.87,26.6,15.3,46.31,87.5,25.7,28.44,30.21,18.4,0.07,13.17,0.1183,12.9,373.187311,0.041,0.982,0.658041219,0.895956149,0.606352856
12140,"Auburn, IN","Auburn, IN Micro Area",0.79,17.8,12.5,41.83,86.9,10.19,79.23,8.31,13.4,0.01,11.77,0.0622,11.6,117.403964,0.275,0.953,1.308471997,0.843046316,1.100948546
12180,"Auburn, NY","Auburn, NY Micro Area",0.89,22.4,11.6,42.67,87.3,12.22,37.33,41.93,11.4,0.03,8.45,0.0688,10.6,241.441258,0.276,0.984,0.533037916,1.010809862,0.70036465
12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",0.82,34.9,22,50.08,78.6,19.91,8.62,58.03,17.5,0.05,12.47,0.0607,18,415.637401,0.028,0.954,0.69357749,1.182668243,0.752966444
12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",0.68,24.9,18.1,46.64,86.1,15.72,10.82,58.03,15.63,0.12,17.18,0.0947,16.248,322.817157,0.187,0.967,0.690828125,1.191478097,0.719007612
12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",0.96,26.7,14.1,42.89,85,14.39,6.35,77.07,14,0.05,10.07,0.0697,16.248,168.191464,0.013,0.992,0.500764962,1.219730483,0.984431435
