GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,co2_hhs,Z_Water_Index,Index_Black,Index_Asian,Index_Latino,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME
10260,"Adjuntas, PR","Adjuntas, PR Micro Area",0.933023397436221,18.100000000000000,64.100000000000000,57.040000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3562,NA,NA
10380,"Aguadilla-Isabela, PR","Aguadilla-Isabela, PR Metro Area",0.933023397436221,19.700000000000000,53.100000000000000,51.940000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2375,NA,NA
10760,"Alexander City, AL","Alexander City, AL Micro Area",NA,18.200000000000000,21.200000000000000,45.360000000000000,90.900000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0980,NA,NA
11640,"Arecibo, PR","Arecibo, PR Metro Area",0.933023397436221,22.000000000000000,48.300000000000000,51.850000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1649,NA,NA
12120,"Atmore, AL","Atmore, AL Micro Area",NA,12.100000000000000,23.800000000000000,48.440000000000000,93.700000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1524,NA,NA
14300,"Bonham, TX","Bonham, TX Micro Area",NA,16.200000000000000,14.800000000000000,43.550000000000000,80.700000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0641,NA,NA
15140,"Brownsville, TN","Brownsville, TN Micro Area",NA,12.400000000000000,19.100000000000000,49.790000000000000,89.500000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0716,NA,NA
16140,"Carroll, IA","Carroll, IA Micro Area",NA,22.500000000000000,10.300000000000000,44.160000000000000,89.599999999999900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0262,NA,NA
16420,"Central City, KY","Central City, KY Micro Area",NA,11.300000000000000,20.500000000000000,42.520000000000000,87.400000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0845,NA,NA
17620,"Coamo, PR","Coamo, PR Micro Area",0.933023397436221,20.300000000000000,48.300000000000000,50.690000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1036,NA,NA
17640,"Coco, PR","Coco, PR Micro Area",0.991322937648148,16.900000000000000,53.600000000000000,48.830000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1135,NA,NA
21640,"Eufaula, AL-GA","Eufaula, AL-GA Micro Area",NA,11.700000000000000,26.800000000000000,46.360000000000000,87.700000000000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1324,NA,NA
