"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Aberdeen, SD",0.122946653740541,0.000427394520096723,0.0492197495703538,3.9474761850135e-05,1.85377505133832e-07,0.0313161583668989,0.0212930031468842,0.773633869089627,1.0119455591693e-06,2.37402295737706e-06,0.00112012545772637
"Aberdeen, WA",0.00470602645817192,0.793458396949295,0.00342917643363558,0.13712119048681,0.000205716297478779,0.00777678818554272,0.0323699111830131,0.0137164791989631,0.00705962529147428,0.000132632190516146,2.40573250993972e-05
"Abilene, TX",0.770140425831541,5.00675751043681e-07,0.153208713542427,1.47719873783796e-05,4.90260162560422e-12,4.53527396176836e-08,9.13653330924754e-05,0.07476353746633,0.000126679117528796,7.00647974662395e-07,0.00165326004033543
"Ada, OK",0.110195329496148,0.122795244348296,0.0123998754764947,0.261889341899599,5.52192684899273e-06,0.0357678286305057,0.175633431026374,0.27458204470098,0.0058135992817378,0.000136519029619651,0.000781264183397434
"Adrian, MI",1.02582342731985e-07,0.000127625442631505,0.00154089780477894,2.76550617854865e-06,0.996600551647694,1.36536133615309e-09,0.000456766456524309,0.0012523121561838,1.15146947255939e-06,4.03249426632377e-06,1.37930745664806e-05
"Akron, OH",5.53832775523265e-07,0.000111896588441908,0.00835615183330621,9.75584494820701e-05,0.967429666821424,3.54368142554479e-09,0.0203635125424919,0.00129364396636537,2.22566862437295e-05,0.00126212503327202,0.00106263070251577
"Alamogordo, NM",0.976605166597083,2.50310034271997e-06,0.0233136534858137,7.0948517876734e-07,2.29513481424565e-14,7.39381942756963e-06,1.19388911902971e-05,3.92252110350489e-05,9.11879680869511e-06,8.88562368097933e-06,1.40498941601415e-06
"Albany, GA",0.000900601614552741,0.0015319720899447,0.042783934076279,0.256500505658448,2.03100754834549e-05,1.41852239001585e-07,0.0114573733436207,0.000340723851510773,0.669899508003913,0.00988568099830872,0.00667924843570013
"Albany, OR",0.00298171377389156,0.14486008543582,0.0145817911660244,0.00312989761690626,7.64815917675565e-05,0.817475653759406,0.0141673294775675,0.00240749414389606,0.000140107506933679,3.68324736377738e-05,0.000142613054148988
"Albany-Schenectady-Troy, NY",0.000268099101651274,0.00516702905272615,0.00177066089489673,0.00316955427357004,0.00242403354832472,0.000943938314871368,0.943900857781203,0.0405272468779407,8.33352585633712e-06,0.00142239164218632,0.000397854986772901
