"","x"
"Aberdeen, SD",0.350195122322701
"Aberdeen, WA",0.124021392148066
"Abilene, TX",0.006486008537258
"Ada, OK",0.24584532643623
"Adrian, MI",0.0167575698014456
"Akron, OH",0.0549587805487199
"Alamogordo, NM",0.217270944073211
"Albany, GA",0.253500675236136
"Albany, OR",0.51811743541923
"Albany-Schenectady-Troy, NY",0.432241431932183
"Albemarle, NC",0.0832650137782861
"Albert Lea, MN",0.0555867821241663
"Albertville, AL",0.183086123342866
"Albuquerque, NM",0.0399452318108049
"Alexandria, LA",0.291678380762446
"Alexandria, MN",0.386666535864398
"Alice, TX",0.390975415190009
"Allentown-Bethlehem-Easton, PA-NJ",0.192531895116767
"Alma, MI",0.0534736241587944
"Alpena, MI",0.00847393523264117
"Altoona, PA",0.291645093274095
"Altus, OK",0.113277240641231
"Amarillo, TX",0.0506733108482398
"Americus, GA",0.174051590992265
"Ames, IA",0.00036156180604574
"Amsterdam, NY",0.471819450194767
"Andrews, TX",1.01284825340109e-05
"Ann Arbor, MI",0.00338010860694427
"Anniston-Oxford-Jacksonville, AL",0.0406860189767979
"Appleton, WI",0.249297133445793
"Arcadia, FL",0.0363159131451245
"Ardmore, OK",0.52943432675563
"Arkadelphia, AR",0.314234772457483
"Arkansas City-Winfield, KS",0.457709624411339
"Asheville, NC",0.497687895109514
"Ashland, OH",0.0140323004384426
"Ashtabula, OH",0.00481275485493915
"Astoria, OR",0.187171096173594
"Atchison, KS",0.0121098666498467
"Athens, OH",0.00276149504753864
"Athens, TN",0.129190129878395
"Athens, TX",0.234516914496144
"Athens-Clarke County, GA",0.281753679352124
"Atlanta-Sandy Springs-Roswell, GA",0.0549349453926812
"Atlantic City-Hammonton, NJ",0.20691523679984
"Auburn, IN",0.01885544981797
"Auburn, NY",0.369708385222265
"Auburn-Opelika, AL",0.412701690538816
"Augusta-Richmond County, GA-SC",0.303839097035854
"Augusta-Waterville, ME",0.325395303727154
"Austin, MN",0.660266796645558
"Austin-Round Rock, TX",0.448083051949493
"Bainbridge, GA",0.0781851343209108
"Bakersfield, CA",0.0018147565550467
"Baltimore-Columbia-Towson, MD",0.0584763721951849
"Bangor, ME",0.434198830699763
"Baraboo, WI",0.104816052089189
"Bardstown, KY",0.37503900430157
"Barnstable Town, MA",0.0515685640332285
"Barre, VT",4.06988750034643e-07
"Bartlesville, OK",0.404303310282257
"Bastrop, LA",0.0421990069298297
"Batavia, NY",0.0427026835242469
"Batesville, AR",0.0929145316190779
"Baton Rouge, LA",0.375081186053666
"Battle Creek, MI",0.42704662556484
"Bay City, MI",0.0192041715135346
"Bay City, TX",0.172835226981275
"Beatrice, NE",0.221152849432116
"Beaumont-Port Arthur, TX",0.109783081393756
"Beaver Dam, WI",0.103817728112193
"Beckley, WV",0.498282362187608
"Bedford, IN",0.0131966505241627
"Beeville, TX",0.245691900518472
"Bellefontaine, OH",0.00166248563477789
"Bellingham, WA",0.486145298149931
"Bemidji, MN",0.332830200325473
"Bend-Redmond, OR",0.654113788441754
"Bennettsville, SC",0.166286908159042
"Bennington, VT",0.459684469001799
"Berlin, NH-VT",0.287772321868203
"Big Rapids, MI",0.562080240061909
"Big Spring, TX",0.000356783818572959
"Big Stone Gap, VA",0.163203968119729
"Billings, MT",0.166923431011919
"Binghamton, NY",0.512756906581467
"Birmingham-Hoover, AL",0.290841281344847
"Bismarck, ND",0.616471657294318
"Blacksburg-Christiansburg-Radford, VA",0.0894791688095792
"Bloomington, IL",0.306964788288285
"Bloomington, IN",0.000355791090252411
"Bloomsburg-Berwick, PA",0.352401692094883
"Bluefield, WV-VA",0.414206604840512
"Blytheville, AR",0.0639834055350692
"Bogalusa, LA",0.0213608686232087
"Boise City, ID",0.453900064568285
"Boone, IA",0.136871287674303
"Boone, NC",0.00187296248457147
"Borger, TX",0.00964545271468398
"Boston-Cambridge-Newton, MA-NH",0.0164157949943632
"Boulder, CO",0.0602958798281193
"Bowling Green, KY",0.0293238722623299
"Bozeman, MT",0.41615647246238
"Brainerd, MN",0.67308125050498
"Branson, MO",0.236623670770885
"Bremerton-Silverdale, WA",0.428669311649937
"Brevard, NC",0.498197021395877
"Bridgeport-Stamford-Norwalk, CT",0.0369640266888477
"Brookhaven, MS",0.155694226941145
"Brookings, SD",0.0422819539138167
"Brownsville-Harlingen, TX",0.092745106194083
"Brownwood, TX",0.212966905104308
"Brunswick, GA",0.065829319132593
"Bucyrus, OH",0.00071595693407589
"Buffalo-Cheektowaga-Niagara Falls, NY",0.0254976259877007
"Burlington, IA-IL",0.230393244793999
"Burlington, NC",0.243031023014676
"Burlington-South Burlington, VT",0.132926371804827
"Butte-Silver Bow, MT",0.481918955833823
"Cadillac, MI",0.0773362029567191
"Calhoun, GA",0.202419352983494
"California-Lexington Park, MD",0.223872959767998
"Cambridge, MD",0.429682283087629
"Cambridge, OH",0.00533232991299859
"Camden, AR",0.0479201119653339
"Campbellsville, KY",0.374830172882881
"Canon City, CO",0.396524936763832
"Canton, IL",0.429390545338473
"Canton-Massillon, OH",0.0314885805542521
"Cape Coral-Fort Myers, FL",0.0887352653196967
"Cape Girardeau, MO-IL",0.0831185506234449
"Carbondale-Marion, IL",0.0262030266770253
"Carlsbad-Artesia, NM",0.000762920875184037
"Carson City, NV",0.367428919965391
"Casper, WY",0.469392656873095
"Cedar City, UT",0.415902657614087
"Cedar Rapids, IA",0.0630770814216628
"Cedartown, GA",0.0414483224194455
"Celina, OH",0.0345421300177898
"Centralia, IL",0.0356765167021764
"Centralia, WA",0.547009155729564
"Chambersburg-Waynesboro, PA",0.271499719780866
"Champaign-Urbana, IL",0.0145791086691955
"Charleston, WV",0.270543376727424
"Charleston-Mattoon, IL",0.134600767464449
"Charleston-North Charleston, SC",0.215702240079347
"Charlotte-Concord-Gastonia, NC-SC",0.193785498657361
"Charlottesville, VA",0.0722227876665557
"Chattanooga, TN-GA",0.532839946579084
"Cheyenne, WY",0.292730863929599
"Chicago-Naperville-Elgin, IL-IN-WI",0.0189169240187431
"Chico, CA",0.531740194055162
"Chillicothe, OH",0.0225712241617133
"Cincinnati, OH-KY-IN",0.0088138822394771
"Claremont-Lebanon, NH-VT",0.589314851644415
"Clarksburg, WV",0.133587737003436
"Clarksdale, MS",0.000710526232625797
"Clarksville, TN-KY",0.15257850181116
"Clearlake, CA",0.503832352861444
"Cleveland, MS",0.0033539146974203
"Cleveland, TN",0.106407431161763
"Cleveland-Elyria, OH",0.0046774852833229
"Clewiston, FL",0.0448004103105691
"Clinton, IA",0.583120577251026
"Clovis, NM",0.191433824552102
"Coeur d'Alene, ID",0.325686957794683
"Coffeyville, KS",0.348554963424012
"Coldwater, MI",0.000695426112894082
"College Station-Bryan, TX",0.00271919415576116
"Colorado Springs, CO",0.282783716568679
"Columbia, MO",0.100707809068885
"Columbia, SC",0.259184339259739
"Columbus, GA-AL",0.143980143741825
"Columbus, IN",0.0165194127147171
"Columbus, MS",0.0300736886569022
"Columbus, NE",0.196653793112356
"Columbus, OH",0.0275371708340808
"Concord, NH",0.558258674620134
"Connersville, IN",0.00645135892263859
"Cookeville, TN",0.0845696380328433
"Coos Bay, OR",0.256099294001779
"Cordele, GA",0.155992594566714
"Corinth, MS",0.45903315197467
"Cornelia, GA",0.103390941823782
"Corning, NY",0.0297254160097129
"Corpus Christi, TX",0.170563031258996
"Corsicana, TX",0.0847464080753335
"Cortland, NY",0.433626893477323
"Corvallis, OR",0.000996354663761356
"Coshocton, OH",0.165147631724513
"Crescent City, CA",0.492491062792696
"Crestview-Fort Walton Beach-Destin, FL",0.413255634044945
"Crossville, TN",0.139304833306981
